0.000000000000000000e+00,6.004837231539319475e+00
3.123000000000000043e+01,3.185541646238218050e+01
3.062000000000000099e+01,3.538803608692931846e+01
1.460999999999999943e+01,1.200451469210003097e+01
5.349999999999999645e+00,1.199983094047972898e+01
3.225000000000000000e+01,3.130993066808803249e+01
3.545000000000000284e+01,4.359711006830834634e+01
1.000000000000000000e+01,1.221627007986613123e+01
1.083000000000000007e+01,9.501317064395486511e+00
9.789999999999999147e+00,9.670059977120793349e+00
7.219999999999999751e+00,1.017229523356504473e+01
6.690000000000000391e+00,7.140334640277946399e+00
9.759999999999999787e+00,9.510220541884979895e+00
7.290000000000000036e+00,9.879587989526740444e+00
3.259999999999999787e+00,7.476203472935352146e+00
7.309999999999999609e+00,6.183958892215491332e+00
6.099999999999999645e+00,6.103221035060956368e+00
1.419999999999999929e+01,8.748820950584844880e+00
8.939999999999999503e+00,6.628273801451062042e+00
0.000000000000000000e+00,6.108149763620049910e+00
8.640000000000000568e+00,7.554737040272513582e+00
7.040000000000000036e+00,6.253762804670245146e+00
0.000000000000000000e+00,6.829938362541396302e+00
1.544999999999999929e+01,9.871672906410195125e+00
1.730000000000000071e+01,1.109377387224453848e+01
7.660000000000000142e+00,9.872538256436397930e+00
